W9_cycles;W10_cycles;W9_SOH;W10_SOH;files
25;25;0.991863255;0.993366443;C1.csv
50;50;0.978999436;0.979202778;C2.csv
47;47;0.968953872;0.966177153;C3.csv
22;24;0.955331495;0.954700825;C4.csv
1;2;0.952443738;0.952462357;C5.csv
1;3;0.943475427;0.943690756;C6.csv
4;8;0.935122234;0.935875415;C7.csv
29;29;0.932701712;0.933866293;C8.csv
37;37;0.932777551;0.933685975;C9.csv
25;25;0.930311191;0.930634649;C10.csv
25;25;0.926456285;0.926975045;C11.csv
25;25;0.923355294;0.924196963;C12.csv
25;25;0.920424573;0.920279775;C13.csv
25;25;0.915750118;0.916399279;C14.csv
